Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 24298                49485                0                    25                   0.04425                                  10521                1.21                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 7286                 13455                0                   
CPU1:
 Read Count           Write Count          Discard Count       
 17012                36030                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    0                    1                   
 1                    515                  1                   
 2                    458                  1                   
 3                    357                  1                   
 4                    501                  0                   
 5                    1                    1                   
 6                    130                  1                   
 7                    505                  0                   
 8                    0                    1                   
 9                    501                  0                   
 10                   512                  0                   
 11                   427                  1                   
 12                   263                  1                   
 13                   28                   1                   
 14                   505                  0                   
 15                   498                  0                   
 16                   517                  0                   
 17                   490                  0                   
 18                   510                  0                   
 19                   511                  0                   
 20                   514                  0                   
 21                   0                    1                   
 22                   400                  1                   
 23                   528                  1                   
 24                   444                  1                   
 25                   0                    2                   
 26                   0                    1                   
 27                   0                    1                   
 28                   0                    1                   
 29                   0                    1                   
 30                   0                    1                   
 31                   163                  1                   
 32                   0                    1                   
 33                   515                  0                   
 34                   0                    1                   
 35                   0                    1                   
