Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 64977                197324               0                    160                  0.02657                                  37169                1.19                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 40999                103406               0                   
CPU1:
 Read Count           Write Count          Discard Count       
 23978                93918                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    0                    3                   
 1                    0                    3                   
 2                    0                    3                   
 3                    0                    3                   
 4                    0                    3                   
 5                    0                    3                   
 6                    0                    3                   
 7                    0                    3                   
 8                    525                  2                   
 9                    0                    3                   
 10                   0                    3                   
 11                   0                    3                   
 12                   0                    3                   
 13                   0                    3                   
 14                   1                    3                   
 15                   0                    3                   
 16                   0                    3                   
 17                   540                  2                   
 18                   889                  2                   
 19                   521                  2                   
 20                   544                  2                   
 21                   512                  2                   
 22                   529                  2                   
 23                   644                  2                   
 24                   505                  2                   
 25                   539                  2                   
 26                   758                  2                   
 27                   540                  2                   
 28                   522                  2                   
 29                   693                  2                   
 30                   1024                 2                   
 31                   785                  2                   
 32                   695                  2                   
 33                   490                  2                   
 34                   520                  2                   
 35                   134                  2                   
 36                   1024                 2                   
 37                   1024                 2                   
 38                   540                  2                   
 39                   507                  2                   
 40                   507                  2                   
 41                   1024                 2                   
 42                   510                  2                   
 43                   1024                 2                   
 44                   507                  2                   
 45                   1024                 2                   
 46                   1017                 2                   
 47                   490                  2                   
 48                   0                    2                   
 49                   921                  2                   
 50                   497                  2                   
 51                   0                    2                   
 52                   482                  2                   
 53                   0                    2                   
 54                   509                  2                   
 55                   0                    2                   
 56                   517                  2                   
 57                   0                    2                   
 58                   508                  2                   
 59                   5                    2                   
 60                   506                  2                   
 61                   517                  2                   
 62                   506                  2                   
 63                   522                  2                   
 64                   510                  2                   
 65                   0                    2                   
 66                   420                  2                   
 67                   5                    2                   
 68                   0                    2                   
 69                   0                    2                   
 70                   0                    2                   
 71                   0                    2                   
