Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 64977                197324               0                    148                  0.03290                                  20905                1.11                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 40999                103406               0                   
CPU1:
 Read Count           Write Count          Discard Count       
 23978                93918                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    1024                 0                   
 1                    0                    3                   
 2                    0                    3                   
 3                    507                  3                   
 4                    503                  2                   
 5                    546                  2                   
 6                    528                  2                   
 7                    504                  2                   
 8                    600                  2                   
 9                    526                  2                   
 10                   536                  2                   
 11                   514                  2                   
 12                   537                  2                   
 13                   537                  2                   
 14                   542                  2                   
 15                   510                  2                   
 16                   0                    3                   
 17                   0                    3                   
 18                   528                  2                   
 19                   551                  3                   
 20                   0                    3                   
 21                   43                   3                   
 22                   251                  2                   
 23                   501                  2                   
 24                   499                  2                   
 25                   480                  2                   
 26                   522                  2                   
 27                   507                  2                   
 28                   507                  2                   
 29                   506                  2                   
 30                   524                  2                   
 31                   0                    3                   
 32                   1                    3                   
 33                   0                    3                   
 34                   522                  2                   
 35                   0                    3                   
 36                   0                    3                   
 37                   0                    3                   
 38                   0                    3                   
 39                   0                    3                   
 40                   509                  2                   
 41                   0                    3                   
 42                   0                    3                   
 43                   0                    3                   
 44                   523                  3                   
 45                   0                    3                   
 46                   0                    3                   
 47                   491                  2                   
 48                   510                  3                   
 49                   0                    3                   
 50                   531                  2                   
 51                   509                  2                   
 52                   361                  2                   
 53                   0                    2                   
 54                   0                    2                   
 55                   524                  1                   
 56                   506                  1                   
 57                   486                  1                   
 58                   499                  1                   
 59                   510                  1                   
 60                   500                  1                   
 61                   511                  1                   
 62                   524                  1                   
 63                   518                  1                   
 64                   527                  1                   
 65                   637                  2                   
 66                   525                  2                   
 67                   0                    2                   
